run,gap_seed,ego_seed,low_level,opinion_reward,max_reward,reward_diff,opinion_progress,max_progress,opinion_success,max_success,opinion_collision,max_collision,opinion_time,max_time,opinion_min_distance,max_min_distance,opinion_switch_count,max_switch_count
79,527603371,495439555,SAC,286.14315976696344,141.4045332656882,144.73862650127523,0.9384478307199486,0.9376009045911557,1.0,1.0,0.0,0.0,8.04999999999998,7.499999999999981,3.7957499294363055,3.793718663096123,0,0
80,2096236324,2001409495,SAC,106.64083418298155,138.65577704215247,-32.0149428591709,0.9379183802109505,0.9379049776527384,1.0,1.0,0.0,0.0,30.750000000000302,7.299999999999982,3.8424708039559214,3.856577487345688,0,0
81,2063281256,2078054027,SAC,270.4539995374185,134.55298561598602,135.90101392143248,0.9378545762411503,0.9383758661886132,1.0,1.0,0.0,0.0,9.55,7.399999999999982,3.412516138707543,4.054633838949747,0,0
82,1339395518,368871838,SAC,223.85689383892566,142.26519906473834,81.59169477418732,0.9379661975584268,0.9380976424770768,1.0,1.0,0.0,0.0,8.299999999999983,7.499999999999981,2.4001617336358767,3.804187214836696,2,0
83,618979930,438892467,SAC,212.6654990066186,143.8352137773178,68.83028522930081,0.9376947783428924,0.9385784742910439,1.0,1.0,0.0,0.0,8.299999999999983,7.399999999999982,2.4946541189397347,3.9195541664046805,2,0
84,1471609726,1137122202,SAC,206.8764459775697,30.697858212186844,176.17858776538284,0.9386640615602122,0.9378939253421812,1.0,1.0,0.0,0.0,18.05000000000012,7.89999999999998,5.124971260528194,2.6650016854368657,0,0
85,2055665570,693373550,SAC,270.395904660983,117.23545361236347,153.1604510486195,0.9388104059464948,0.9380699474889436,1.0,1.0,0.0,0.0,7.89999999999998,7.699999999999981,3.912886706084346,3.766506192820011,2,0
86,99195379,881391734,SAC,233.31310734588533,87.70607646734842,145.6070308785369,0.9385462416387669,0.9385308447264973,1.0,1.0,0.0,0.0,13.500000000000057,7.349999999999982,2.6438866264747958,4.362233852714282,3,0
87,1553714997,629653099,SAC,199.94007926565354,142.53624622146452,57.403833044189014,0.9377615308904934,0.9377727949360579,1.0,1.0,0.0,0.0,12.100000000000037,7.299999999999982,3.1319322018193225,4.0683659397244645,0,0
88,116146605,1280285446,SAC,284.02026470825746,142.23891357869581,141.78135112956164,0.9387315444590678,0.9376504420754757,1.0,1.0,0.0,0.0,8.04999999999998,7.499999999999981,3.8139934647456384,3.873183681897523,2,0
89,390887330,1121481224,SAC,88.45666790477523,129.59446631250364,-41.13779840772841,0.9379030010238618,0.9381088343341768,1.0,1.0,0.0,0.0,25.200000000000223,7.499999999999981,3.1357580628083155,3.6762869096975903,0,0
90,1574963607,717440070,SAC,287.75411368062277,142.28178903036428,145.47232465025849,0.9380603819015394,0.9382912711227003,1.0,1.0,0.0,0.0,7.94999999999998,7.549999999999981,3.9284917857553157,3.924332092871924,0,0
91,1527703407,956887591,SAC,283.6554552161356,140.00754097976642,143.64791423636916,0.9385475734355444,0.9376429993329018,1.0,1.0,0.0,0.0,8.04999999999998,7.299999999999982,4.182183317011227,4.276279523455629,0,0
92,1415900354,957956674,SAC,289.1109995978186,143.40776782024284,145.70323177757575,0.9386282704055566,0.937687049538035,1.0,1.0,0.0,0.0,7.649999999999981,7.049999999999983,4.074209804496127,4.328490403790407,0,0
93,838145799,1028162213,SAC,-119.75268044016819,90.14987372780814,-209.90255416797635,0.8425222188426633,0.9376829325300955,0.0,1.0,0.0,0.0,40.04999999999986,7.84999999999998,3.691910083431827,2.776240344473538,2,0
94,1720926262,973838693,SAC,284.7960082819909,138.55604658846892,146.239961693522,0.9384855494952666,0.9377625792503546,1.0,1.0,0.0,0.0,7.7499999999999805,7.349999999999982,4.280879408845572,4.318011678783215,0,0
95,858641201,2116481898,SAC,168.38200466936934,34.84931622368259,133.53268844568674,0.9388534460532023,0.9387025301263909,1.0,1.0,0.0,0.0,15.950000000000092,8.249999999999982,3.728906714548612,2.478276717656576,0,0
96,1527129486,124468790,SAC,264.85669195685745,116.26279188615035,148.5939000707071,0.9387962407602879,0.9379120425911005,1.0,1.0,0.0,0.0,7.99999999999998,7.649999999999981,3.844562657044592,3.8192857638698907,0,0
97,119988828,1200093499,SAC,288.6458971546714,143.01337483161228,145.6325223230591,0.9384461989017145,0.9387149099058545,1.0,1.0,0.0,0.0,7.599999999999981,7.149999999999983,4.1182320695965435,4.258552774970938,0,0
98,2028255629,1113145426,SAC,285.3048764753708,143.5255992376052,141.7792772377656,0.9376056390850318,0.9375346680170697,1.0,1.0,0.0,0.0,8.349999999999984,7.149999999999983,3.771161988763321,3.9300948861021827,0,0
99,831698692,1478675319,SAC,279.93789411528417,138.60146026239312,141.33643385289105,0.9380646355161764,0.9383117688213536,1.0,1.0,0.0,0.0,8.399999999999984,7.499999999999981,3.6942121751405557,3.7078891175270114,0,0
100,1920828233,1501175503,SAC,125.68653001291173,140.24823792773037,-14.56170791481864,0.9381212279146354,0.9378430978934038,1.0,1.0,0.0,0.0,27.15000000000025,7.299999999999982,3.8303825880532907,3.878830166889513,0,0
